id,productCode,productName,productPrice,productAmount,productDescription
1,S10_1678,1969 Harley Davidson Ultimate Chopper,48.81,7933,"This replica features working kickstand, front suspension, gear-shift lever, footbrake lever, drive chain, wheels and steering. All parts are particularly delicate due to their precise scale and require special care and attention."
2,S10_1949,1952 Alpine Renault 1300,98.58,7305,Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.
3,S10_2016,1996 Moto Guzzi 1100i,68.99,6625,"Official Moto Guzzi logos and insignias, saddle bags located on side of motorcycle, detailed engine, working steering, working suspension, two leather seats, luggage rack, dual exhaust pipes, small saddle bag located on handle bars, two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand, diecast metal with plastic parts and baked enamel finish."
4,S10_4698,2003 Harley-Davidson Eagle Drag Bike,91.02,5582,"Model features, official Harley Davidson logos and insignias, detachable rear wheelie bar, heavy diecast metal with resin parts, authentic multi-color tampo-printed graphics, separate engine drive belts, free-turning front fork, rotating tires and rear racing slick, certificate of authenticity, detailed engine, display stand
, precision diecast replica, baked enamel finish, 1:10 scale model, removable fender, seat and tank cover piece for displaying the superior detail of the v-twin engine"
5,S10_4757,1972 Alfa Romeo GTA,85.68,3252,Features include: Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.
6,S10_4962,1962 LanciaA Delta 16V,103.42,6791,Features include: Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.
7,S12_1099,1968 Ford Mustang,95.34,68,"Hood, doors and trunk all open to reveal highly detailed interior features. Steering wheel actually turns the front wheels. Color dark green."
8,S12_1108,2001 Ferrari Enzo,95.59,3619,Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.
9,S12_1666,1958 Setra Bus,77.9,1579,"Model features 30 windows, skylights & glare resistant glass, working steering system, original logos"
10,S12_2823,2002 Suzuki XREO,66.27,9997,"Official logos and insignias, saddle bags located on side of motorcycle, detailed engine, working steering, working suspension, two leather seats, luggage rack, dual exhaust pipes, small saddle bag located on handle bars, two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand, diecast metal with plastic parts and baked enamel finish."
